"date;open;high;low;close;volume"
"20130102;5460.0;5460.0;5330.0;5450.0;24550930000.0"
"20130103;5450.0;5490.0;5420.0;5490.0;11724332000.0"
"20130104;5490.0;5520.0;5440.0;5520.0;16882987000.0"
"20130108;5520.0;5510.0;5430.0;5430.0;18881554000.0"
"20130109;5430.0;5450.0;5420.0;5450.0;15444675000.0"
"20130110;5450.0;5470.0;5440.0;5460.0;23905356000.0"
"20130111;5460.0;5470.0;5440.0;5450.0;21353413000.0"
"20130114;5450.0;5470.0;5440.0;5460.0;12074639000.0"
"20130115;5460.0;5460.0;5430.0;5440.0;28375263000.0"
"20130116;5440.0;5460.0;5430.0;5450.0;41805263000.0"
"20130117;5450.0;5470.0;5430.0;5440.0;25687325000.0"
"20130118;5440.0;5490.0;5430.0;5490.0;42596990000.0"
"20130121;5490.0;5500.0;5470.0;5500.0;6739207000.0"
"20130122;5500.0;5500.0;5460.0;5480.0;22658953000.0"
"20130123;5480.0;5560.0;5500.0;5560.0;53431430000.0"
"20130124;5560.0;5610.0;5540.0;5590.0;56008210000.0"
"20130125;5590.0;5630.0;5590.0;5600.0;27255450000.0"
"20130128;5600.0;5610.0;5560.0;5600.0;27993766000.0"
"20130129;5600.0;5640.0;5570.0;5640.0;24911626000.0"
"20130130;5640.0;5630.0;5610.0;5620.0;21574676000.0"
"20130131;5620.0;5650.0;5600.0;5650.0;62049935000.0"
"20130201;5650.0;5670.0;5600.0;5650.0;37638517000.0"
"20130204;5650.0;5700.0;5610.0;5700.0;18544069000.0"
"20130205;5700.0;5740.0;5680.0;5710.0;61364486000.0"
"20130206;5710.0;5710.0;5590.0;5600.0;76137505000.0"
"20130207;5600.0;5620.0;5510.0;5510.0;44897950000.0"
"20130208;5510.0;5510.0;5450.0;5500.0;50453130000.0"
"20130211;5500.0;5480.0;5440.0;5440.0;21245454000.0"
"20130212;5440.0;5510.0;5420.0;5420.0;30910180000.0"
"20130213;5420.0;5460.0;5400.0;5430.0;30138968000.0"
"20130214;5430.0;5450.0;5400.0;5450.0;17128735000.0"
"20130215;5450.0;5460.0;5410.0;5410.0;14981678000.0"
"20130218;5410.0;5420.0;5370.0;5410.0;23847262000.0"
"20130219;5410.0;5380.0;5190.0;5220.0;115709770000.0"
"20130220;5220.0;5220.0;5140.0;5190.0;65940333000.0"
