fecha,Precio Apertura,Precio Mayor,Precio Menor,Precio Cierre,Volumen
2013-01-02,5440,5460,5330,5450,24550929470
2013-01-03,5530,5490,5420,5490,11724331860
2013-01-04,5550,5520,5440,5520,16882987200
2013-01-08,5340,5510,5430,5430,18881555390
2013-01-09,5470,5450,5420,5450,15444674270
2013-01-10,5470,5470,5440,5460,23905356230
2013-01-11,5440,5470,5440,5450,21353413050
2013-01-14,5470,5470,5440,5460,12074639130
2013-01-15,5420,5460,5430,5440,28375262340
2013-01-16,5460,5460,5430,5450,41805263000
2013-01-17,5430,5470,5430,5440,25687323900
2013-01-18,5540,5490,5430,5490,42596992490
2013-01-21,5510,5500,5470,5500,6739207280
2013-01-22,5460,5500,5460,5480,22658952320
2013-01-23,5640,5560,5500,5560,53431432240
2013-01-24,5620,5610,5540,5590,56008208130
2013-01-25,5610,5630,5590,5600,27255450580
2013-01-28,5600,5610,5560,5600,27993766420
2013-01-29,5680,5640,5570,5640,24911626640
2013-01-30,5600,5630,5610,5620,21574677050
2013-01-31,5680,5650,5600,5650,62049934350
2013-02-01,5650,5670,5600,5650,37638518180
2013-02-04,5750,5700,5610,5700,18544068890
2013-02-05,5720,5740,5680,5710,61364487730
2013-02-06,5490,5710,5590,5600,76137505200
2013-02-07,5420,5620,5510,5510,44897952910
2013-02-08,5490,5510,5450,5500,50453132340
2013-02-11,5380,5480,5440,5440,21245453740
2013-02-12,5400,5510,5420,5420,30910178560
2013-02-13,5440,5460,5400,5430,30138968550
2013-02-14,5470,5450,5400,5450,17128735020
2013-02-15,5370,5460,5410,5410,14981677880
2013-02-18,5410,5420,5370,5410,23847262700
2013-02-19,5030,5380,5190,5220,115709773710
2013-02-20,5160,5220,5140,5190,65940333470
2013-02-21,5270,5230,5120,5230,69185513560
2013-02-22,5250,5280,5230,5240,41190681730
2013-02-25,5300,5380,5270,5270,71927329120
2013-02-26,5170,5290,5200,5220,41010073750
2013-02-27,5240,5270,5220,5230,24822315450
2013-02-28,5190,5250,5210,5210,30874906620
2013-03-01,5190,5220,5180,5200,21755716890
2013-03-04,5100,5220,5150,5150,24502665090
2013-03-05,5090,5180,5110,5120,41665873440
2013-03-06,5060,5140,5080,5090,41097238500
2013-03-07,5030,5100,5050,5060,35242124330
2013-03-08,5220,5140,5030,5140,38224668480
2013-03-11,5140,5170,5050,5140,42385536710
2013-03-12,5080,5190,5100,5110,27544702520
2013-03-13,5090,5120,5080,5100,34744924650
2013-03-14,5100,5130,5090,5100,17205777470
2013-03-15,5100,5100,5050,5100,35700610680
2013-03-18,4820,5080,4935,4960,70321300145
2013-03-19,4830,4960,4895,4895,49818140055
2013-03-20,4905,4955,4895,4900,25056121285
2013-03-21,5010,5050,4925,4955,94302613245
2013-03-22,5105,5050,5000,5030,24531445890
2013-03-26,5110,5090,5030,5070,19312461320
2013-03-27,5030,5070,5030,5050,20119937010
2013-04-01,4910,5030,4955,4980,19845388410
2013-04-02,4970,5000,4960,4975,20189952340
2013-04-03,4825,4995,4880,4900,48914784745
2013-04-04,4970,4950,4900,4935,46602963150
2013-04-05,5105,5020,4900,5020,33969839510
2013-04-08,4850,5050,4935,4935,49303135235
2013-04-09,4305,4885,4610,4620,61306682490
2013-04-10,4430,4650,4525,4525,47125243425
2013-04-11,4575,4570,4480,4550,72628810380
2013-04-12,4350,4560,4450,4450,49400447580
2013-04-15,4000,4450,4225,4225,51970857390
2013-04-16,4565,4395,4240,4395,67140721005
2013-04-17,4265,4460,4305,4330,83143592830
2013-04-18,4290,4385,4265,4310,47181217680
2013-04-19,4380,4355,4275,4345,40682488645
2013-04-22,4375,4380,4335,4360,40654916355
2013-04-23,4390,4415,4370,4375,63684217960
2013-04-24,4445,4450,4375,4410,52190923540
2013-04-25,4400,4425,4390,4405,22951621400
2013-04-26,4265,4405,4325,4335,30443129735
2013-04-29,4345,4340,4285,4340,24096077690
2013-04-30,4440,4390,4330,4390,116243570935
2013-05-02,4190,4380,4275,4290,20999225220
2013-05-03,4350,4345,4305,4320,16323787545
2013-05-06,4040,4275,4080,4180,65204909425
2013-05-07,4220,4240,4170,4200,34690532280
2013-05-08,4200,4220,4170,4200,21723254605
2013-05-09,4160,4215,4180,4180,18830164475
2013-05-10,4090,4180,4115,4135,17411825490
2013-05-14,4115,4145,4115,4125,15406413410
2013-05-15,4155,4170,4105,4140,28440875005
2013-05-16,4110,4150,4120,4125,22133586230
2013-05-17,4025,4140,4070,4075,20484779850
2013-05-20,3915,4075,3985,3995,28284012830
2013-05-21,4005,4005,3905,4000,44828530535
2013-05-22,4030,4075,4000,4015,65115036395
2013-05-23,4255,4135,3975,4135,46450554605
2013-05-24,4175,4180,4100,4155,68124820515
2013-05-27,4185,4200,4150,4170,12331140280
2013-05-28,4210,4235,4185,4190,69713006075
2013-05-29,4200,4220,4170,4195,25248846705
2013-05-30,4215,4230,4185,4205,35909969035
2013-05-31,3955,4265,4080,4080,56693828010
2013-06-04,4160,4130,4065,4120,33638151220
2013-06-05,4100,4115,4095,4110,19256642740
2013-06-06,4060,4110,4080,4085,19434726395
2013-06-07,4185,4135,4090,4135,22951358840
2013-06-11,3985,4115,4060,4060,32390963525
2013-06-12,3850,4080,3930,3955,32874066525
2013-06-13,3995,4005,3935,3975,46553761185
2013-06-14,4025,4000,3945,4000,21689682735
2013-06-17,4170,4105,4000,4085,28737449480
2013-06-18,4275,4180,4100,4180,35795383660
2013-06-19,4060,4170,4095,4120,30193831865
2013-06-20,3800,4080,3950,3960,52387475330
