fecha,Precio Apertura,Precio Mayor,Precio Menor,Precio Cierre,Volumen
2013-01-02,18325,18325,18303,18303,562103433
2013-01-03,18303,18390,18300,18390,1977248900
2013-01-04,18390,18416,18390,18415,1867283100
2013-01-08,18415,18593,18415,18480,8967235552
2013-01-09,18480,18480,18360,18360,385969900
2013-01-10,18360,18460,18360,18455,2564265460
2013-01-11,18455,18455,18380,18388,1997048896
2013-01-14,18388,18408,18388,18408,406820000
2013-01-15,18408,18435,18397,18410,7668856092
2013-01-16,18410,18430,18330,18430,1129632070
2013-01-17,18430,18469,18430,18456,12750984640
2013-01-18,18456,18495,18438,18495,31888265935
2013-01-21,18495,18495,18466,18471,4247730000
2013-01-22,18471,18575,18471,18575,25439691680
2013-01-23,18575,18675,18575,18625,20090915250
2013-01-24,18625,18794,18625,18690,21821075986
2013-01-25,18690,18737,18690,18705,1535935585
2013-01-28,18705,18705,18610,18620,6337664695
2013-01-29,18620,18700,18615,18700,11884359143
2013-01-30,18700,18763,18700,18763,14392116250
2013-01-31,18763,18785,18696,18696,12120560432
2013-02-01,18696,18764,18696,18732,6282113985
2013-02-04,18732,18835,18600,18831,11501622608
2013-02-05,18831,18935,18831,18935,32411297380
2013-02-06,18935,19020,18710,18710,3037587528
2013-02-07,18710,18783,18200,18765,27165221993
2013-02-08,18765,18765,18704,18760,17369544678
2013-02-11,18760,18760,18600,18605,17137382055
2013-02-12,18605,18700,18605,18698,14401715750
2013-02-13,18698,18777,18670,18725,34496351000
2013-02-14,18725,18737,18700,18737,3081625022
2013-02-15,18737,18737,18613,18615,13179064039
2013-02-18,18615,18615,18560,18565,7591806846
2013-02-19,18565,18600,18480,18480,52668152677
2013-02-20,18480,18489,18400,18400,33070052195
2013-02-21,18400,19220,18350,18370,28272900272
2013-02-22,18370,18591,18370,18591,20559493651
2013-02-25,18591,18644,18591,18619,10815455910
2013-02-26,18619,18619,18471,18492,9385723388
2013-02-27,18492,18536,18492,18517,1849210675
2013-02-28,18517,18540,18400,18400,8091275500
2013-03-01,18400,18410,18350,18350,817876050
2013-03-04,18350,18408,18350,18368,2631195492
2013-03-05,18368,18368,18308,18310,2884203574
2013-03-06,18310,18310,18111,18111,22188421701
2013-03-07,18111,18120,17882,17882,7986265982
2013-03-08,17882,17980,17870,17870,3004508697
2013-03-11,17870,18009,17870,18009,720360000
2013-03-12,18009,18045,18009,18013,3244894980
2013-03-13,18013,18013,17920,17920,14667591053
2013-03-14,17920,17936,17920,17934,6471698430
2013-03-15,17934,17934,17840,17840,120619620
2013-03-18,17840,17930,17840,17875,409921110
2013-03-19,17875,17875,17726,17726,4281636730
2013-03-20,17726,17726,17654,17662,593848734
2013-03-21,17662,17748,17662,17700,20292095764
2013-03-22,17700,17762,17700,17760,3752276075
2013-03-26,17760,17798,17760,17798,416649112
2013-03-27,17798,17798,17798,17798,0
2013-04-01,17798,17798,17760,17790,4886670000
2013-04-02,17790,17790,17680,17680,1138374000
2013-04-03,17680,17706,17480,17480,9283391710
2013-04-04,17480,17615,17480,17615,16225441050
2013-04-05,17615,17615,17539,17539,6305121770
2013-04-08,17539,17615,17539,17545,632124235
2013-04-09,17545,17643,17500,17640,1901283000
2013-04-10,17640,17680,17631,17655,13619461385
2013-04-11,17655,17705,17655,17705,4704104765
2013-04-12,17705,17710,17610,17610,5442200058
2013-04-15,17610,17610,17290,17290,18322501291
2013-04-16,17290,17290,17095,17095,405940806
2013-04-17,17095,17095,17060,17060,29650280
2013-04-18,17060,17083,17020,17065,3452044860
2013-04-19,17065,17170,17065,17170,880556250
2013-04-22,17170,17276,17170,17230,11430957882
2013-04-23,17230,17265,17230,17231,4775065548
2013-04-24,17231,17280,17215,17215,3228712320
2013-04-25,17215,17215,17190,17190,1176765560
2013-04-26,17190,17226,17190,17200,5724269620
2013-04-29,17200,17200,17010,17010,23473800
2013-04-30,17010,17100,17005,17005,4540545950
2013-05-02,17005,17041,17005,17040,5841168000
2013-05-03,17040,17170,17040,17045,2891847384
2013-05-06,17045,17045,16910,16910,682934344
2013-05-07,16910,17017,16910,16978,11904637500
2013-05-08,16978,16978,16796,16796,6843415000
2013-05-09,16796,16854,16780,16780,13637033240
2013-05-10,16780,16780,16550,16550,11327878850
2013-05-14,16550,16750,16550,16749,2346781133
2013-05-15,16749,16897,16680,16830,21851654950
2013-05-16,16830,17040,16830,16951,31871898597
2013-05-17,16951,16951,16923,16940,3212002967
2013-05-20,16940,16950,16930,16950,5163125750
2013-05-21,16950,16950,16890,16910,1819141440
2013-05-22,16910,17070,16910,17047,28388258870
2013-05-23,17047,17125,16731,17125,4705265130
2013-05-24,17125,17140,17088,17126,2321656970
2013-05-27,17126,17160,17126,17160,3098483920
2013-05-28,17160,17328,17160,17275,23040917600
2013-05-29,17275,17275,17190,17190,17292950162
2013-05-30,17190,17200,17110,17110,8191152650
2013-05-31,17110,17200,16850,16877,16288825565
2013-06-04,16877,16905,16800,16828,3695580800
2013-06-05,16828,16890,16828,16870,1212788834
2013-06-06,16870,16870,16755,16768,4710324005
2013-06-07,16768,16811,16768,16811,1260825000
2013-06-11,16811,16811,16811,16811,0
2013-06-12,16811,16811,16350,16350,2483586500
2013-06-13,16350,16436,16340,16380,8466278012
2013-06-14,16380,16380,16336,16356,2623649592
2013-06-17,16356,16356,16356,16356,0
2013-06-18,16356,16540,16356,16538,1731538554
2013-06-19,16538,16560,16490,16490,5324204600
2013-06-20,16490,16490,16330,16330,163211980
2013-06-21,16330,16330,16100,16140,1277650850
2013-06-24,16140,16140,15571,15571,1232784905
2013-06-25,15571,15835,15571,15820,3211660960
2013-06-26,15820,15820,15800,15800,31243104
2013-06-27,15800,16000,15800,15861,7384619570
2013-06-28,15861,15861,15861,15861,5634650
2013-07-02,15861,16200,15861,16146,64672000
2013-07-03,16146,16146,16116,16140,4515699900
2013-07-04,16140,16156,16140,16156,4894016500
2013-07-05,16156,16156,16060,16060,5067895810
2013-07-08,16060,16060,16034,16036,1226184820
2013-07-09,16036,16036,15812,15812,1456312965
2013-07-10,15812,15812,15658,15658,1422056975
2013-07-11,15658,15950,15658,15950,5207989509
2013-07-12,15950,16000,15950,16000,6477000000
2013-07-15,16000,16408,16000,16400,11414078862
2013-07-16,16400,16630,16391,16630,21572247700
2013-07-17,16630,16689,16613,16689,10616672819
2013-07-18,16689,16810,16680,16810,1761228991
2013-07-19,16810,17065,16810,17000,4795876002
2013-07-22,17000,17000,16758,16758,2733552325
2013-07-23,16758,16950,16758,16950,2094443086
2013-07-24,16950,17125,16950,17125,40177634430
2013-07-25,17125,17140,17045,17140,21910578670
