,open,high,low,close,volume,rsi,williams %R,mfi,retorno,sentimiento_textblob,sentimiento_vader,sentimiento_senticnet,sentimiento_lm,sentimiento_aleatorio
2013-01-23,5480.0,5560.0,5480.0,5560.0,53431431168.0,63.41463414634146,0.0,66.32250709947132,1.0,0.0,0.0,0.0,0.0,0.0
2013-01-24,5560.0,5610.0,5540.0,5590.0,56008208384.0,66.08695652173913,-10.526315789473683,70.55416269380747,1.0,0.0,0.0,0.0,0.0,0.0
2013-01-25,5590.0,5630.0,5590.0,5600.0,27255449600.0,66.95346108721158,-14.285714285714285,71.42238957826336,1.0,0.0,0.0,0.0,0.0,0.0
2013-01-28,5600.0,5610.0,5560.0,5600.0,27993765888.0,66.95346108721158,-14.285714285714285,69.5983359953273,-1.0,1.5,2.25,2.25,1.5,0.75
2013-01-29,5600.0,5640.0,5570.0,5640.0,24911626240.0,70.45542159202739,0.0,74.3043074588039,1.0,0.5,0.75,0.75,0.5,0.25
2013-01-30,5640.0,5640.0,5610.0,5620.0,21574676480.0,66.65217672555804,-9.523809523809524,74.19464297052068,-1.0,0.0,0.0,0.0,0.0,0.0
2013-01-31,5620.0,5650.0,5600.0,5650.0,62049935360.0,69.32686955692382,0.0,81.6445860912052,1.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,5650.0,5670.0,5600.0,5650.0,37638516736.0,69.32686955692382,-8.333333333333332,82.71222670232497,-1.0,0.75,0.75,0.75,0.75,0.75
2013-02-04,5650.0,5700.0,5610.0,5700.0,18544068608.0,73.44393903270924,0.0,88.62619792145772,1.0,0.75,0.75,0.75,0.0,0.0
2013-02-05,5700.0,5740.0,5680.0,5710.0,61364486144.0,74.1900976095273,-9.67741935483871,89.16493676445938,1.0,0.25,0.25,0.25,0.0,0.0
2013-02-06,5710.0,5710.0,5590.0,5600.0,76137504768.0,55.66286984098377,-45.16129032258064,76.49801615252908,-1.0,0.0,0.0,0.0,0.0,0.0
2013-02-07,5600.0,5620.0,5510.0,5510.0,44897951744.0,45.623857124248566,-82.14285714285714,68.41725258026958,-1.0,0.0,-0.75,0.75,-0.75,0.75
2013-02-08,5510.0,5510.0,5450.0,5500.0,50453131264.0,44.66005726145739,-82.75862068965517,62.277517040640376,-1.0,0.0,-0.25,0.25,-0.25,0.25
2013-02-11,5500.0,5500.0,5440.0,5440.0,21245454336.0,39.29615502418236,-100.0,62.43328266875171,-1.0,0.0,0.0,0.0,0.0,0.0
2013-02-12,5440.0,5510.0,5420.0,5420.0,30910179328.0,37.671941903270714,-100.0,55.54580446530414,-1.0,0.0,0.0,0.0,0.0,0.0
2013-02-13,5420.0,5460.0,5400.0,5430.0,30138968064.0,39.02891600824881,-91.17647058823529,47.86105339072081,1.0,0.0,0.0,0.0,0.0,0.0
2013-02-14,5430.0,5450.0,5400.0,5450.0,17128734720.0,41.75993364099212,-85.29411764705883,46.7982553265323,1.0,0.0,0.0,0.0,0.0,0.0
2013-02-15,5450.0,5460.0,5410.0,5410.0,14981678080.0,38.08561944695151,-97.05882352941177,48.03029005852342,-1.0,0.0,0.0,0.0,0.0,0.0
2013-02-18,5410.0,5420.0,5370.0,5410.0,23847262208.0,38.08561944695151,-89.1891891891892,43.2998430962239,-1.0,-0.75,2.25,2.25,0.0,0.75
2013-02-19,5410.0,5410.0,5190.0,5220.0,115709771776.0,25.651939695539326,-94.54545454545455,33.310676455605865,-1.0,-0.25,0.0,2.25,0.0,0.25
2013-02-20,5220.0,5220.0,5140.0,5190.0,65940332544.0,24.302828303747077,-91.66666666666666,22.87818856716877,-1.0,0.0,0.5,1.25,0.75,-0.75
2013-02-21,5190.0,5230.0,5120.0,5230.0,69185511424.0,29.617946799545493,-82.25806451612904,26.143143580829616,1.0,0.0,0.25,0.25,0.25,-0.25
2013-02-22,5230.0,5280.0,5230.0,5240.0,41190682624.0,30.923776600201677,-80.64516129032258,28.432795697491777,1.0,1.5,3.0,1.5,2.25,0.0
2013-02-25,5240.0,5380.0,5240.0,5270.0,71927332864.0,34.83018011724258,-74.57627118644068,29.038355077311138,1.0,1.75,0.75,1.0,0.5,-0.5
2013-02-26,5270.0,5290.0,5200.0,5220.0,41010073600.0,31.62057426760903,-80.0,30.867164882782838,-1.0,0.5,0.25,1.0,0.25,-0.25
2013-02-27,5220.0,5270.0,5220.0,5230.0,24822315008.0,32.9513374615135,-71.7948717948718,35.95006108887047,1.0,0.0,0.0,0.25,0.0,0.0
2013-02-28,5230.0,5250.0,5210.0,5210.0,30874906624.0,31.625684212116212,-76.92307692307693,37.26219413392842,-1.0,0.0,0.0,0.0,0.0,0.0
2013-03-01,5210.0,5220.0,5180.0,5200.0,21755717632.0,30.95511440522867,-79.48717948717949,37.29601012024123,-1.0,0.75,0.75,0.75,-0.75,0.0
