,open,high,low,close,volume,rsi,williams %R,mfi,retorno,sentimiento_textblob,sentimiento_vader,sentimiento_senticnet,sentimiento_lm,sentimiento_aleatorio
2013-01-23,30500.0,30680.0,30400.0,30680.0,1688148224.0,90.0,0.0,89.56544887526586,1.0,0.0,0.0,0.0,0.0,0.0
2013-01-24,30680.0,30680.0,30400.0,30660.0,2244729856.0,88.8045540796964,-1.7241379310344827,85.68217340377544,-1.0,0.0,0.0,0.0,0.0,0.0
2013-01-25,30660.0,30660.0,30300.0,30660.0,1516590336.0,88.8045540796964,-1.7241379310344827,82.68890498930418,-1.0,0.0,0.0,0.0,0.0,0.0
2013-01-28,30660.0,30660.0,30340.0,30600.0,4008918528.0,84.88178666866997,-6.896551724137931,76.96611269844482,-1.0,0.0,0.0,0.0,0.0,0.0
2013-01-29,30600.0,30600.0,30380.0,30560.0,2506438400.0,82.2725952455825,-13.636363636363635,70.57755682842054,-1.0,0.0,0.75,0.0,0.0,-0.75
2013-01-30,30560.0,30560.0,30400.0,30500.0,5544969216.0,78.38056879583215,-20.454545454545457,54.27962104654743,-1.0,0.75,2.5,2.25,0.75,-0.25
2013-01-31,30500.0,30500.0,30260.0,30480.0,2965342464.0,77.07175085474447,-22.727272727272727,57.4938061154428,-1.0,0.25,0.75,0.75,0.25,0.0
2013-02-01,30480.0,30680.0,30300.0,30680.0,3194021376.0,80.56643540801757,0.0,58.51022034648783,1.0,0.0,0.0,0.0,0.0,0.0
2013-02-04,30680.0,30680.0,30300.0,30300.0,1640438528.0,61.41336965737192,-70.37037037037037,52.0545342630222,-1.0,0.0,0.0,0.0,0.0,0.0
2013-02-05,30300.0,30700.0,30300.0,30700.0,5015013888.0,69.60465872808005,0.0,38.18381657782422,1.0,0.0,0.0,0.0,0.0,0.0
2013-02-06,30700.0,30700.0,30300.0,30580.0,2410056192.0,65.13729748702232,-27.27272727272727,30.84932643356149,-1.0,0.0,-0.75,-0.75,0.0,0.0
2013-02-07,30580.0,30600.0,30340.0,30480.0,582577152.0,61.589777616119186,-50.0,30.315048388969597,-1.0,0.0,-0.25,-0.25,0.0,0.0
2013-02-08,30480.0,30480.0,30220.0,30220.0,1358419328.0,53.44042620968091,-100.0,28.593084044167373,-1.0,0.0,0.0,0.0,0.0,0.0
2013-02-11,30220.0,30220.0,28900.0,29300.0,8076682240.0,35.52717963433251,-77.77777777777779,23.341355286595935,-1.0,0.0,0.0,0.0,0.0,0.0
2013-02-12,29300.0,29520.0,29080.0,29380.0,6536597504.0,37.48938739422225,-73.33333333333333,17.469438770527397,1.0,0.0,0.0,0.0,0.0,0.0
2013-02-13,29380.0,29740.0,29340.0,29720.0,2316044032.0,45.13229683688526,-54.44444444444444,22.244470892814576,1.0,0.0,0.0,0.0,0.0,0.0
2013-02-14,29720.0,29960.0,29520.0,29960.0,1897429504.0,49.79825440860246,-41.11111111111111,25.998133336997714,1.0,0.0,0.0,0.0,0.0,0.0
2013-02-15,29960.0,29960.0,29700.0,29960.0,1685641216.0,49.79825440860246,-41.11111111111111,31.02551079141068,-1.0,0.0,0.0,0.0,0.0,0.0
2013-02-18,29960.0,29960.0,29280.0,29280.0,1158731520.0,38.92186624546958,-78.88888888888889,32.01058495113699,-1.0,0.0,0.0,0.0,0.0,0.0
2013-02-19,29280.0,29400.0,29040.0,29300.0,7968313856.0,39.34149769424362,-77.77777777777779,30.543002729778497,1.0,0.0,0.0,0.0,0.0,0.0
2013-02-20,29300.0,29400.0,29000.0,29400.0,5071508992.0,41.50547247359204,-72.22222222222221,39.52665969364754,1.0,0.75,0.0,1.5,0.0,0.0
2013-02-21,29400.0,29400.0,29000.0,29000.0,7368517120.0,35.976724348644424,-94.44444444444444,30.370507226737388,-1.0,0.25,0.0,0.5,0.0,0.0
2013-02-22,29000.0,29300.0,29000.0,29300.0,4422509568.0,42.19581221917868,-77.77777777777779,36.73693487757569,1.0,0.0,0.0,-0.75,0.0,0.75
2013-02-25,29300.0,29680.0,29100.0,29100.0,4866008576.0,39.44492158883927,-88.88888888888889,36.322159298780136,-1.0,0.0,0.0,0.0,0.0,0.0
2013-02-26,29100.0,29100.0,28740.0,28920.0,3322571264.0,37.1006258317997,-90.32258064516128,35.83011733513978,-1.0,0.0,0.0,0.0,0.0,0.0
